mass_A
t	x	y
0.000	3.173E-3	0.413
0.033	5.807E-3	0.413
0.067	1.244E-2	0.412
0.100	2.063E-2	0.406
0.133	3.307E-2	0.400
0.167	4.751E-2	0.393
0.200	6.560E-2	0.384
0.234	8.633E-2	0.372
0.267	0.111	0.361
0.300	0.139	0.351
0.334	0.170	0.338
0.367	0.204	0.327
0.400	0.241	0.314
0.434	0.280	0.302
0.467	0.322	0.294
0.501	0.365	0.284
0.534	0.410	0.280
0.567	0.456	0.276
0.601	0.503	0.273
0.634	0.550	0.272
0.667	0.597	0.272
0.701	0.644	0.271
0.734	0.690	0.271
0.767	0.737	0.270
0.801	0.784	0.270
0.834	0.830	0.263
0.868	0.879	0.256
0.901	0.928	0.247
0.934	0.979	0.237
0.968	1.030	0.223
1.001	1.084	0.213
1.034	1.140	0.200
1.068	1.197	0.188
1.101	1.255	0.172
1.134	1.316	0.155
1.168	1.378	0.136
1.201	1.443	0.117
