mass_A
t	x	y
0.000	9.516E-3	0.410
0.033	1.301E-2	0.410
0.067	2.108E-2	0.407
0.100	2.846E-2	0.401
0.133	4.161E-2	0.395
0.167	5.766E-2	0.388
0.200	7.643E-2	0.377
0.234	9.822E-2	0.366
0.267	0.123	0.354
0.300	0.152	0.344
0.334	0.183	0.331
0.367	0.218	0.321
0.400	0.255	0.306
0.434	0.294	0.296
0.467	0.335	0.286
0.501	0.379	0.278
0.534	0.423	0.272
0.567	0.469	0.267
0.601	0.516	0.264
0.634	0.563	0.264
0.667	0.609	0.266
0.701	0.655	0.264
0.734	0.701	0.264
0.767	0.747	0.263
0.801	0.794	0.260
0.834	0.840	0.254
0.868	0.887	0.248
0.901	0.935	0.237
0.934	0.985	0.226
0.968	1.036	0.214
1.001	1.089	0.202
1.034	1.144	0.189
1.068	1.201	0.178
1.101	1.258	0.162
1.134	1.316	0.144
1.168	1.377	0.123
1.201	1.438	9.960E-2
