mass_A
t	x	y
0.033	1.040E-2	0.410
0.067	1.577E-2	0.410
0.100	2.442E-2	0.406
0.133	3.508E-2	0.400
0.167	4.886E-2	0.394
0.200	6.497E-2	0.383
0.234	8.437E-2	0.373
0.267	0.108	0.361
0.300	0.134	0.352
0.334	0.164	0.340
0.367	0.196	0.327
0.400	0.231	0.314
0.434	0.270	0.302
0.467	0.311	0.292
0.501	0.353	0.282
0.534	0.398	0.275
0.567	0.444	0.270
0.601	0.490	0.266
0.634	0.537	0.264
0.667	0.584	0.263
0.701	0.631	0.263
0.734	0.678	0.263
0.767	0.725	0.263
0.801	0.772	0.262
0.834	0.818	0.257
0.868	0.866	0.248
0.901	0.915	0.241
0.934	0.965	0.229
0.968	1.017	0.220
1.001	1.070	0.206
1.034	1.124	0.194
1.068	1.180	0.181
1.101	1.237	0.165
1.134	1.298	0.148
1.168	1.358	0.128
1.201	1.423	0.111
