mass_A
t	x	y
0.000	3.496E-3	0.412
0.033	5.295E-3	0.412
0.067	1.130E-2	0.410
0.100	2.028E-2	0.406
0.133	3.070E-2	0.399
0.167	4.602E-2	0.393
0.200	6.226E-2	0.386
0.234	8.282E-2	0.377
0.267	0.106	0.366
0.300	0.132	0.354
0.334	0.162	0.342
0.367	0.194	0.330
0.400	0.228	0.319
0.434	0.265	0.305
0.467	0.304	0.296
0.501	0.346	0.289
0.534	0.388	0.281
0.567	0.431	0.276
0.601	0.476	0.273
0.634	0.521	0.269
0.667	0.565	0.270
0.701	0.611	0.272
0.734	0.655	0.270
0.767	0.699	0.271
0.801	0.744	0.271
0.834	0.788	0.268
0.868	0.833	0.265
0.901	0.878	0.257
0.934	0.925	0.247
0.968	0.973	0.237
1.001	1.021	0.227
1.034	1.072	0.216
1.068	1.124	0.205
1.101	1.178	0.193
1.134	1.232	0.176
1.168	1.288	0.159
1.201	1.347	0.144
1.235	1.408	0.128
1.268	1.467	9.987E-2
