mass_A
t	x	y
0.000	3.819E-3	0.413
0.033	5.714E-3	0.413
0.067	1.305E-2	0.411
0.100	2.152E-2	0.407
0.133	3.361E-2	0.402
0.167	4.778E-2	0.394
0.200	6.581E-2	0.385
0.234	8.701E-2	0.375
0.267	0.110	0.363
0.300	0.137	0.352
0.334	0.167	0.337
0.367	0.201	0.327
0.400	0.236	0.315
0.434	0.276	0.303
0.467	0.316	0.293
0.501	0.360	0.286
0.534	0.405	0.280
0.567	0.450	0.274
0.601	0.497	0.272
0.634	0.544	0.271
0.667	0.591	0.271
0.701	0.638	0.272
0.734	0.685	0.272
0.767	0.731	0.272
0.801	0.778	0.269
0.834	0.826	0.264
0.868	0.873	0.256
0.901	0.923	0.248
0.934	0.973	0.237
0.968	1.025	0.226
1.001	1.078	0.213
1.034	1.134	0.202
1.068	1.191	0.189
1.101	1.249	0.173
1.134	1.309	0.155
1.168	1.371	0.134
1.201	1.435	0.110
