mass_A
t	x	y
0.000	1.038E-2	0.411
0.033	1.214E-2	0.410
0.067	1.781E-2	0.410
0.100	2.706E-2	0.404
0.133	3.729E-2	0.398
0.167	5.061E-2	0.391
0.200	6.746E-2	0.383
0.234	8.793E-2	0.373
0.267	0.112	0.361
0.300	0.139	0.349
0.334	0.168	0.336
0.367	0.201	0.326
0.400	0.236	0.312
0.434	0.274	0.300
0.467	0.316	0.290
0.501	0.358	0.283
0.534	0.402	0.275
0.567	0.448	0.269
0.601	0.494	0.266
0.634	0.541	0.264
0.667	0.588	0.263
0.701	0.634	0.263
0.734	0.681	0.264
0.767	0.727	0.263
0.801	0.772	0.261
0.834	0.819	0.257
0.868	0.865	0.249
0.901	0.914	0.240
0.934	0.963	0.230
0.968	1.015	0.221
1.001	1.067	0.209
1.034	1.120	0.195
1.068	1.177	0.183
1.101	1.234	0.167
1.134	1.291	0.148
1.168	1.352	0.131
1.201	1.414	0.108
1.235	1.473	8.543E-2
