mass_A
t	x	y
0.000	1.881E-3	0.412
0.033	4.338E-3	0.413
0.067	1.145E-2	0.411
0.100	2.321E-2	0.402
0.133	3.352E-2	0.396
0.167	4.973E-2	0.391
0.200	6.843E-2	0.382
0.234	9.043E-2	0.372
0.267	0.115	0.362
0.300	0.143	0.349
0.334	0.173	0.337
0.367	0.208	0.327
0.400	0.245	0.314
0.434	0.284	0.303
0.467	0.326	0.294
0.501	0.369	0.285
0.534	0.414	0.280
0.567	0.460	0.274
0.601	0.507	0.272
0.634	0.553	0.271
0.667	0.600	0.273
0.701	0.647	0.272
0.734	0.693	0.272
0.767	0.740	0.272
0.801	0.786	0.269
0.834	0.833	0.263
0.868	0.881	0.255
0.901	0.930	0.245
0.934	0.981	0.236
