mass_A
t	x	y
0.000	2.527E-3	0.413
0.033	5.110E-3	0.413
0.067	1.195E-2	0.411
0.100	2.319E-2	0.404
0.133	3.404E-2	0.397
0.167	5.104E-2	0.394
0.200	6.945E-2	0.385
0.234	9.131E-2	0.374
0.267	0.116	0.363
0.300	0.143	0.350
0.334	0.174	0.337
0.367	0.208	0.327
0.400	0.245	0.314
0.434	0.285	0.304
0.467	0.327	0.294
0.501	0.370	0.285
0.534	0.415	0.280
0.567	0.461	0.275
0.601	0.507	0.273
0.634	0.554	0.272
0.667	0.601	0.273
0.701	0.647	0.273
0.734	0.694	0.273
0.767	0.740	0.272
0.801	0.787	0.269
0.834	0.834	0.264
0.868	0.882	0.256
0.901	0.931	0.248
0.934	0.982	0.236
0.968	1.033	0.225
1.001	1.086	0.214
1.034	1.141	0.200
1.068	1.198	0.189
1.101	1.256	0.171
1.134	1.315	0.153
1.168	1.377	0.135
