mass_A
t	x	y
0.000	1.849E-3	0.408
0.033	2.873E-3	0.407
0.067	6.998E-3	0.407
0.100	1.470E-2	0.404
0.133	2.542E-2	0.397
0.167	3.846E-2	0.392
0.200	5.513E-2	0.383
0.234	7.451E-2	0.374
0.267	9.734E-2	0.362
0.300	0.124	0.351
0.334	0.152	0.338
0.367	0.185	0.326
0.400	0.220	0.316
0.434	0.258	0.302
0.467	0.299	0.293
0.500	0.341	0.284
0.534	0.386	0.276
0.567	0.430	0.272
0.601	0.476	0.268
0.634	0.523	0.265
0.667	0.569	0.265
0.701	0.616	0.266
0.734	0.662	0.265
0.767	0.708	0.266
0.801	0.754	0.265
0.834	0.800	0.264
0.868	0.848	0.256
0.901	0.895	0.247
0.934	0.944	0.237
0.968	0.995	0.228
1.001	1.048	0.217
1.034	1.101	0.205
1.068	1.155	0.191
1.101	1.212	0.176
1.134	1.272	0.162
1.168	1.332	0.145
1.201	1.396	0.127
1.235	1.459	0.107
